[1, 78]
[215/126, 94]
[215/168, 91]
[215/252, 97]
[215/308, 99]
[215/348, 99]
[217/90, 96]
[217/120, 88]
[217/152, 95]
[217/240, 98]
[217/360, 98]
[219/110, 92]
[219/140, 98]
[219/280, 96]
[221/112, 99]
[221/120, 83]
[221/126, 99]
[221/132, 94]
[221/140, 95]
[221/168, 98]
[221/180, 80]
[221/210, 87]
[221/228, 85]
[221/264, 96]
[221/280, 93]
[223/90, 97]
[223/105, 95]
[223/120, 94]
[223/126, 94]
[223/140, 94]
[223/168, 84]
[223/180, 88]
[223/195, 94]
[223/210, 99]
[223/240, 96]
[224/165, 79]
[226/105, 95]
[227/105, 95]
[227/110, 98]
[227/112, 95]
[227/120, 85]
[227/126, 92]
[227/140, 90]
[227/144, 100]
[227/168, 79]
[227/180, 93]
[227/210, 80]
[227/240, 89]
[227/300, 99]
[227/315, 97]
[227/360, 98]
[227/420, 97]
[228/119, 99]
[229/104, 98]
[229/105, 96]
[229/108, 97]
[229/120, 84]
[229/180, 98]
[229/210, 99]
[229/220, 92]
[229/240, 100]
[229/252, 88]
[229/280, 96]
[229/420, 94]
[230/231, 99]
[231/130, 91]
[232/105, 94]
[233/120, 100]
[233/126, 94]
[233/140, 87]
[233/156, 92]
[233/168, 92]
[233/180, 83]
[233/204, 86]
[233/210, 90]
[233/216, 100]
[233/240, 99]
[233/264, 85]
[233/280, 94]
[233/336, 98]
[233/360, 94]
[235/144, 97]
[235/168, 96]
[236/255, 97]
[237/140, 97]
[239/120, 80]
[239/126, 96]
[239/130, 93]
[239/140, 88]
[239/168, 89]
[239/210, 95]
[239/315, 100]
[239/330, 89]
[241/105, 99]
[241/120, 82]
[241/126, 100]
[241/168, 90]
[241/180, 95]
[241/210, 97]
[241/231, 100]
[241/240, 94]
[241/260, 91]
[241/280, 90]
[241/315, 97]
[242/315, 99]
[243/112, 96]
[243/140, 84]
[243/280, 82]
[245/312, 91]
[247/120, 99]
[247/140, 81]
[247/168, 89]
[247/180, 87]
[247/210, 89]
[247/240, 87]
[247/252, 99]
[247/280, 97]
[247/300, 100]
[248/105, 98]
[248/135, 94]
[249/280, 96]
[251/105, 90]
[251/120, 90]
[251/126, 87]
[251/140, 99]
[251/168, 89]
[251/180, 86]
[251/210, 89]
[251/220, 91]
[251/240, 96]
[251/360, 99]
[251/420, 89]
[253/105, 99]
[253/120, 90]
[253/140, 83]
[253/144, 100]
[253/156, 97]
[253/168, 77]
[253/180, 95]
[253/210, 89]
[253/240, 95]
[253/336, 98]
[253/360, 96]
[253/420, 98]
[254/315, 97]
[256/117, 97]
[257/120, 84]
[257/130, 94]
[257/132, 100]
[257/140, 94]
[257/144, 89]
[257/165, 84]
[257/168, 95]
[257/180, 92]
[257/210, 92]
[257/240, 97]
[257/280, 92]
[257/315, 96]
[257/360, 97]
[257/420, 93]
[259/120, 81]
[259/132, 89]
[259/138, 98]
[259/156, 84]
[259/180, 87]
[259/228, 88]
[259/240, 98]
[259/312, 100]
[261/140, 92]
[261/184, 99]
[261/280, 90]
[262/195, 81]
[262/285, 99]
[262/315, 98]
[263/110, 98]
[263/120, 90]
[263/140, 97]
[263/180, 98]
[263/210, 90]
[263/231, 91]
[263/240, 95]
[263/252, 98]
[263/280, 88]
[263/315, 95]
[263/420, 100]
[265/126, 93]
[265/132, 78]
[265/168, 89]
[265/252, 95]
[265/276, 89]
[266/145, 96]
[267/140, 100]
[267/154, 95]
[267/260, 94]
[268/165, 83]
[269/120, 80]
[269/140, 93]
[269/168, 94]
[269/180, 93]
[269/210, 86]
[269/240, 100]
[269/420, 99]
[271/120, 86]
[271/132, 100]
[271/140, 97]
[271/168, 96]
[271/180, 91]
[271/210, 93]
[271/240, 97]
[271/252, 92]
[271/270, 98]
[271/280, 92]
[271/312, 87]
[271/360, 90]
[273/220, 95]
[274/315, 96]
[275/126, 97]
[275/144, 97]
[275/168, 88]
[277/120, 90]
[277/168, 88]
[277/180, 97]
[277/210, 96]
[277/252, 97]
[277/264, 100]
[277/280, 99]
[277/300, 98]
[277/390, 91]
[279/140, 86]
[281/132, 92]
[281/140, 90]
[281/150, 100]
[281/168, 81]
[281/180, 82]
[281/210, 91]
[281/252, 91]
[281/315, 99]
[283/144, 100]
[283/168, 80]
[283/180, 92]
[283/210, 85]
[283/240, 85]
[283/280, 96]
[283/360, 92]
[283/504, 98]
[284/155, 98]
[284/315, 99]
[287/120, 89]
[287/132, 81]
[287/180, 84]
[287/255, 98]
[287/264, 95]
[287/300, 91]
[289/120, 86]
[289/126, 100]
[289/140, 83]
[289/154, 98]
[289/168, 92]
[289/180, 100]
[289/210, 94]
[289/240, 99]
[289/280, 100]
[289/336, 95]
[289/360, 99]
[289/420, 95]
[291/280, 98]
[293/120, 94]
[293/126, 90]
[293/140, 96]
[293/144, 99]
[293/160, 99]
[293/168, 99]
[293/210, 95]
[293/240, 96]
[293/260, 93]
[293/280, 87]
[293/336, 98]
[293/360, 100]
[293/420, 97]
[295/168, 92]
[295/252, 90]
[297/280, 95]
[299/120, 93]
[299/140, 95]
[299/168, 99]
[299/170, 95]
[299/180, 99]
[299/240, 97]
[299/264, 84]
[299/280, 94]
[301/144, 90]
[301/150, 97]
[301/165, 97]
[301/180, 96]
[301/195, 86]
[301/204, 96]
[302/165, 100]
[302/315, 89]
[303/140, 89]
[303/280, 98]
[304/315, 96]
[305/126, 98]
[305/156, 93]
[305/168, 90]
[307/168, 91]
[307/180, 95]
[307/240, 92]
[307/273, 93]
[307/360, 96]
[307/420, 94]
[309/130, 100]
[309/140, 90]
[309/340, 95]
[311/156, 80]
[311/168, 92]
[311/180, 77]
[311/210, 89]
[311/276, 92]
[311/280, 95]
[311/360, 98]
[312/175, 100]
[313/144, 99]
[313/165, 92]
[313/168, 91]
[313/180, 91]
[313/182, 97]
[313/210, 92]
[313/240, 95]
[313/280, 93]
[313/360, 83]
[313/408, 95]
[313/420, 98]
[314/195, 85]
[314/315, 97]
[316/315, 100]
[317/140, 98]
[317/168, 98]
[317/180, 86]
[317/210, 89]
[317/220, 96]
[317/240, 98]
[317/280, 97]
[317/336, 96]
[317/360, 94]
[317/420, 93]
[319/144, 99]
[319/168, 85]
[319/180, 97]
[319/240, 84]
[319/252, 92]
[319/260, 97]
[319/280, 100]
[319/285, 100]
[319/360, 94]
[319/420, 90]
[321/280, 89]
[321/385, 85]
[323/140, 96]
[323/165, 92]
[323/168, 88]
[323/180, 78]
[323/210, 87]
[323/240, 93]
[323/280, 92]
[323/315, 92]
[323/336, 100]
[325/168, 97]
[325/308, 98]
[327/140, 96]
[327/280, 96]
[329/180, 84]
[329/220, 94]
[331/132, 91]
[331/156, 96]
[331/168, 96]
[331/180, 94]
[331/210, 94]
[331/240, 99]
[331/280, 94]
[331/336, 100]
[331/348, 95]
[331/360, 96]
[331/420, 99]
[331/630, 97]
[332/165, 94]
[332/315, 95]
[333/140, 98]
[333/170, 98]
[333/190, 97]
[333/280, 93]
[335/168, 89]
[335/204, 88]
